"","county","year","month","temp_avg","temp_min","temp_max","precip"
"162","Oswego",2023,1,53.9,45.8,62,"3.77"
"163","Otsego",2023,1,51.6,42.3,60.8,"4.02"
"164","Putnam",2023,1,57.4,48.7,66.1,"4.56"
"165","Queens",2023,1,60,52,68,"4.01"
"166","Rensselaer",2023,1,55.1,45.7,64.5,"4.49"
"167","Richmond",2023,1,60.6,52.6,68.5,"3.65"
"168","Rockland",2023,1,57.8,48.6,67,"4.52"
"169","Saratoga",2023,1,54,44.1,63.9,"3.94"
"170","Schenectady",2023,1,55.1,45.6,64.6,"4.44"
"171","Schoharie",2023,1,52.6,43.1,62,"3.7"
"172","Schuyler",2023,1,53.1,44.6,61.6,"3.97"
"173","Seneca",2023,1,54.2,46.3,62.2,"2.55"
"174","St. Lawrence",2023,1,52.3,44.2,60.5,"2.72"
"175","Steuben",2023,1,52.4,43.2,61.6,"2.59"
"176","Suffolk",2023,1,58,49.1,66.9,"2.41"
"177","Sullivan",2023,1,53.5,44,63,"3.67"
"178","Tioga",2023,1,52.9,43.6,62.2,"3.92"
"179","Tompkins",2023,1,52.8,44.3,61.3,"3.66"
"180","Ulster",2023,1,54.8,46,63.6,"4.17"
"181","Warren",2023,1,51.7,42.2,61.1,"5.33"
"182","Washington",2023,1,54.1,44.1,64.1,"4.39"
"183","Wayne",2023,1,54.3,46.8,61.8,"2"
"184","Westchester",2023,1,58.2,49.1,67.3,"4.37"
"185","Wyoming",2023,1,52.6,44.4,60.8,"3.42"
"186","Yates",2023,1,53.2,44.8,61.6,"1.86"
"187","Albany",2023,1,63.6,53.8,73.3,"4.81"
"188","Allegany",2023,1,61,50.3,71.6,"2.38"
"189","Bronx",2023,1,69.3,62.1,76.6,"11.89"
"190","Broome",2023,1,61.4,51.5,71.3,"3.27"
"191","Cattaraugus",2023,1,61.1,50.5,71.8,"1.91"
"192","Cayuga",2023,1,61.8,52.2,71.3,"2.48"
"193","Chautauqua",2023,1,62.8,52.9,72.7,"1.98"
"194","Chemung",2023,1,61.3,51.1,71.6,"2.56"
"195","Chenango",2023,1,60.1,49.9,70.3,"3.59"
"196","Clinton",2023,1,61.3,52,70.6,"1.65"
"197","Columbia",2023,1,63.8,54.6,72.9,"6.2"
"198","Cortland",2023,1,60,49.8,70.2,"2.19"
"199","Delaware",2023,1,60.1,49.9,70.3,"4.26"
"200","Dutchess",2023,1,64.7,55.5,74,"9.1"
"201","Erie",2023,1,63.4,53.4,73.5,"2.08"
"202","Essex",2023,1,58.8,49,68.5,"2.53"
"203","Franklin",2023,1,59.6,48.9,70.4,"1.7"
"204","Fulton",2023,1,61.4,51,71.8,"2.68"
"205","Genesee",2023,1,62.3,52.5,72.1,"1.74"
"206","Greene",2023,1,61.5,51.6,71.3,"5.69"
"207","Hamilton",2023,1,58.1,47.5,68.7,"1.79"
"208","Herkimer",2023,1,59.6,48.5,70.7,"2.13"
"209","Jefferson",2023,1,61.6,51.6,71.6,"1.29"
"210","Kings",2023,1,69.8,62.8,76.8,"11.89"
"211","Lewis",2023,1,59.6,48.7,70.4,"1.48"
"212","Livingston",2023,1,62.6,52.4,72.9,"1.66"
"213","Madison",2023,1,61.2,50.9,71.5,"2.48"
"214","Monroe",2023,1,63.4,54.4,72.4,"1.42"
"215","Montgomery",2023,1,63.2,52.4,73.9,"3.55"
"216","Nassau",2023,1,68.7,61,76.3,"10.03"
"217","New York",2023,1,69.5,62.3,76.7,"11.8"
"218","Niagara",2023,1,63.6,54.9,72.2,"1.6"
"219","Oneida",2023,1,61.6,50.8,72.5,"1.69"
"220","Onondaga",2023,1,62.7,52.7,72.7,"2.27"
"221","Ontario",2023,1,62.1,52.3,71.8,"2.07"
"222","Orange",2023,1,64.4,55.8,73.1,"8.17"
"223","Orleans",2023,1,63.1,54.3,71.9,"1.16"
"224","Oswego",2023,1,62.4,52.8,71.9,"1.78"
"225","Otsego",2023,1,60,49.3,70.6,"4.03"
"226","Putnam",2023,1,65.6,57.3,73.9,"10.64"
"227","Queens",2023,1,69.2,61.8,76.7,"12.5"
"228","Rensselaer",2023,1,63.6,54.2,73,"4.85"
"229","Richmond",2023,1,69.8,62.4,77.1,"10.65"
"230","Rockland",2023,1,66.7,58.3,75.2,"9.56"
"231","Saratoga",2023,1,63.2,53.2,73.2,"1.27"
"232","Schenectady",2023,1,63.8,53.9,73.6,"2.61"
"233","Schoharie",2023,1,61.3,50.9,71.7,"3.82"
"234","Schuyler",2023,1,61,51,71,"4.41"
"235","Seneca",2023,1,62.2,52.6,71.8,"2.07"
"236","St. Lawrence",2023,1,61,49.9,72.1,"2.66"
"237","Steuben",2023,1,60.9,50.5,71.3,"2.61"
"238","Suffolk",2023,1,67.7,60.2,75.2,"5.92"
"239","Sullivan",2023,1,61.3,51.6,71,"6.38"
"240","Tioga",2023,1,61.2,50.9,71.5,"2.68"
"241","Tompkins",2023,1,60.7,50.4,71.1,"1.61"
"242","Ulster",2023,1,62.5,53.4,71.6,"7.87"
"243","Warren",2023,1,60.6,50.2,71,"1.98"
"244","Washington",2023,1,62.7,52,73.4,"2.26"
"245","Wayne",2023,1,62.3,53.6,71,"1.97"
"246","Westchester",2023,1,67.1,58.7,75.6,"10.78"
"247","Wyoming",2023,1,61.4,51.5,71.4,"1.59"
"248","Yates",2023,1,61.6,51.6,71.6,"2.21"
"249","Albany",2023,1,67.8,58.5,77.2,"5.37"
"250","Allegany",2023,1,65.7,55,76.3,"3.4"
"251","Bronx",2023,1,74.5,67.1,81.8,"6.19"
"252","Broome",2023,1,65.8,56.1,75.5,"7.14"
"253","Cattaraugus",2023,1,65.6,55.1,76,"3.58"
"254","Cayuga",2023,1,66.2,57.4,75,"4.45"
"255","Chautauqua",2023,1,66.9,57.4,76.3,"3.61"
"256","Chemung",2023,1,65.9,55.7,76.1,"7.16"
"257","Chenango",2023,1,64.3,54.2,74.3,"6.59"
"258","Clinton",2023,1,64.7,55.8,73.6,"5.15"
"259","Columbia",2023,1,68.4,58.9,77.8,"4.92"
"260","Cortland",2023,1,64.2,54.5,73.9,"5.14"
"261","Delaware",2023,1,63.9,54,73.8,"7.09"
"262","Dutchess",2023,1,70,60.8,79.2,"4.82"
"263","Erie",2023,1,67.1,57.5,76.6,"3.57"
"264","Essex",2023,1,62.4,53,71.8,"6.85"
"265","Franklin",2023,1,63.2,53.1,73.3,"6.48"
"266","Fulton",2023,1,64.8,55,74.6,"6.2"
"267","Genesee",2023,1,66.5,57.2,75.8,"2.64"
"268","Greene",2023,1,65.9,56.3,75.4,"6.3"
"269","Hamilton",2023,1,61.2,51.5,71,"6.63"
"270","Herkimer",2023,1,62.9,52.9,72.8,"7.26"
"271","Jefferson",2023,1,66,57.4,74.6,"6.26"
"272","Kings",2023,1,74.9,67.8,82,"6.01"
"273","Lewis",2023,1,63.4,54.1,72.6,"7.76"
"274","Livingston",2023,1,67.4,57.5,77.1,"2.3"
"275","Madison",2023,1,65.1,55.4,74.9,"6.83"
"276","Monroe",2023,1,67.7,59.3,76.1,"3.66"
"277","Montgomery",2023,1,67,56.9,77.2,"5.61"
"278","Nassau",2023,1,73.5,65.9,81.2,"5.02"
"279","New York",2023,1,74.8,67.5,82.2,"6.14"
"280","Niagara",2023,1,67.5,59.4,75.6,"3.59"
"281","Oneida",2023,1,65.3,55.4,75.2,"7.96"
"282","Onondaga",2023,1,67,57.7,76.2,"5.64"
"283","Ontario",2023,1,66.9,57.8,76,"3.22"
"284","Orange",2023,1,69.7,61.1,78.2,"4.85"
"285","Orleans",2023,1,67.2,58.9,75.6,"3.03"
"286","Oswego",2023,1,66.8,58,75.6,"6.28"
"287","Otsego",2023,1,63.7,53.5,73.8,"6.24"
"288","Putnam",2023,1,70.6,62.4,78.9,"5.11"
"289","Queens",2023,1,74.3,66.9,81.7,"5.81"
"290","Rensselaer",2023,1,67.7,58.4,77,"5.39"
"291","Richmond",2023,1,74.9,67.2,82.6,"5.5"
"292","Rockland",2023,1,71.9,63.3,80.5,"5.67"
"293","Saratoga",2023,1,66.8,57.4,76.3,"5.8"
"294","Schenectady",2023,1,67.7,58.3,77.1,"5.81"
"295","Schoharie",2023,1,65.3,55.3,75.3,"5.28"
"296","Schuyler",2023,1,65.5,55.8,75.2,"6.31"
"297","Seneca",2023,1,66.7,57.7,75.7,"5.04"
"298","St. Lawrence",2023,1,65,55.2,74.8,"3.54"
"299","Steuben",2023,1,65.8,55.4,76.2,"4.61"
"300","Suffolk",2023,1,71.8,63.8,79.7,"5.4"
"301","Sullivan",2023,1,65.9,56.5,75.3,"7.59"
"302","Tioga",2023,1,65.8,55.8,75.8,"6.39"
"303","Tompkins",2023,1,65,55.4,74.7,"4.57"
"304","Ulster",2023,1,67.4,58.5,76.3,"6.38"
"305","Warren",2023,1,64.2,54.4,73.9,"6.9"
"306","Washington",2023,1,66.9,56.8,77,"6.23"
"307","Wayne",2023,1,67,58.9,75,"2.97"
"308","Westchester",2023,1,72.1,63.7,80.6,"5.78"
"309","Wyoming",2023,1,65.4,55.8,74.9,"2.62"
"310","Yates",2023,1,66.4,56.9,75.9,"3.06"
"311","Albany",2023,1,73.1,62.8,83.4,"6.8"
"312","Allegany",2023,1,69.7,58.5,80.9,"4.42"
"313","Bronx",2023,1,78.8,70.4,87.2,"5.31"
"314","Broome",2023,1,70.8,60.6,81,"6.03"
"315","Cattaraugus",2023,1,69.1,57.7,80.4,"4.82"
"316","Cayuga",2023,1,71.1,61.9,80.2,"4.22"
"317","Chautauqua",2023,1,69.9,59.6,80.3,"5.51"
"318","Chemung",2023,1,71.3,60.2,82.4,"5.36"
"319","Chenango",2023,1,69.2,59,79.5,"5.47"
"320","Clinton",2023,1,69.8,59.9,79.6,"9.97"
"321","Columbia",2023,1,74.3,64.2,84.5,"9.33"
"322","Cortland",2023,1,69.5,59.4,79.5,"5"
"323","Delaware",2023,1,69,58.6,79.4,"5.91"
"324","Dutchess",2023,1,75.3,65.4,85.2,"9.28"
"325","Erie",2023,1,71.2,61,81.3,"5.68"
"326","Essex",2023,1,67.9,57.9,77.8,"9.64"
"327","Franklin",2023,1,68.2,57.6,78.9,"8.32"
"328","Fulton",2023,1,70.2,59.4,81,"7.55"
"329","Genesee",2023,1,71,61.3,80.6,"5.53"
"330","Greene",2023,1,70.9,60.5,81.3,"5.74"
"331","Hamilton",2023,1,66.7,55.9,77.5,"10.39"
"332","Herkimer",2023,1,68.3,57.4,79.2,"6.99"
"333","Jefferson",2023,1,70.5,61.2,79.7,"5.53"
"334","Kings",2023,1,79,71.3,86.8,"5.37"
"335","Lewis",2023,1,68.2,58.2,78.3,"5.76"
"336","Livingston",2023,1,71.4,61,81.7,"4.4"
"337","Madison",2023,1,70.1,59.5,80.7,"4.92"
"338","Monroe",2023,1,71.8,63,80.6,"5.54"
"339","Montgomery",2023,1,72.5,61.4,83.6,"6.71"
"340","Nassau",2023,1,77.6,69.4,85.9,"4.41"
"341","New York",2023,1,79.1,70.9,87.3,"5.29"
"342","Niagara",2023,1,71.6,63.1,80.2,"5.3"
"343","Oneida",2023,1,70.5,59.7,81.3,"5.2"
"344","Onondaga",2023,1,71.7,61.8,81.6,"4.43"
"345","Ontario",2023,1,71.2,61.6,80.8,"5.72"
"346","Orange",2023,1,74.5,65.2,83.8,"10.82"
"347","Orleans",2023,1,71.4,62.9,80,"5.49"
"348","Oswego",2023,1,71.3,61.7,80.8,"4.68"
"349","Otsego",2023,1,68.7,58,79.4,"6.5"
"350","Putnam",2023,1,75.6,66.6,84.5,"10"
"351","Queens",2023,1,78.5,70.4,86.6,"4.99"
"352","Rensselaer",2023,1,73.4,63.4,83.5,"7.52"
"353","Richmond",2023,1,79.1,70.8,87.4,"5.96"
"354","Rockland",2023,1,76.5,67,86,"9.02"
"355","Saratoga",2023,1,72.5,62.3,82.8,"6.75"
"356","Schenectady",2023,1,73.1,62.8,83.4,"6.67"
"357","Schoharie",2023,1,70.1,59.3,80.8,"7"
"358","Schuyler",2023,1,70.7,60.2,81.3,"5.52"
"359","Seneca",2023,1,71.6,62.2,81,"5.34"
"360","St. Lawrence",2023,1,69.9,59.1,80.7,"4.93"
"361","Steuben",2023,1,70.2,59.1,81.2,"4.45"
"362","Suffolk",2023,1,75.9,67.9,84,"5.65"
"363","Sullivan",2023,1,71.1,60.9,81.2,"9.13"
"364","Tioga",2023,1,71.4,60.7,82.1,"5.81"
"365","Tompkins",2023,1,70.8,60.6,81,"5.59"
"366","Ulster",2023,1,72.5,62.9,82.1,"8.99"
"367","Warren",2023,1,69.8,59.2,80.4,"8.11"
"368","Washington",2023,1,72.7,61.9,83.4,"6.52"
"369","Wayne",2023,1,71.4,62.9,79.9,"4.33"
"370","Westchester",2023,1,77,67.6,86.3,"7.71"
"371","Wyoming",2023,1,69.7,59.6,79.8,"5.09"
"372","Yates",2023,1,71,61,80.9,"5.64"
"373","Albany",2023,1,64.6,53.9,75.4,"3.9"
"374","Allegany",2023,1,62.2,50.6,73.7,"2.87"
"375","Bronx",2023,1,69.5,60.4,78.5,"1.63"
"376","Broome",2023,1,63.3,52.7,73.8,"4.71"
"377","Cattaraugus",2023,1,61.9,49.9,73.9,"2.74"
"378","Cayuga",2023,1,63.8,54.2,73.4,"5.53"
"379","Chautauqua",2023,1,63.2,52,74.4,"4.3"
"380","Chemung",2023,1,63.8,52.6,75,"4.18"
"381","Chenango",2023,1,61.7,51,72.4,"4.63"
"382","Clinton",2023,1,62.8,52.9,72.8,"4.25"
"383","Columbia",2023,1,65.5,54.7,76.2,"4.8"
"384","Cortland",2023,1,62,51.7,72.3,"5.06"
"385","Delaware",2023,1,60.8,49.4,72,"4.1"
"386","Dutchess",2023,1,66.5,55.6,77.5,"4.06"
"387","Erie",2023,1,64.8,54,75.6,"2.72"
"388","Essex",2023,1,60.2,49.9,70.4,"4.03"
"389","Franklin",2023,1,61.3,50.1,72.4,"4.4"
"390","Fulton",2023,1,62.4,51.5,73.3,"4.05"
"391","Genesee",2023,1,64.2,54.2,74.2,"1.92"
"392","Greene",2023,1,62.5,51.7,73.2,"4.2"
"393","Hamilton",2023,1,59,47.8,70.2,"3.84"
"394","Herkimer",2023,1,61.2,50,72.4,"5.01"
"395","Jefferson",2023,1,64,54.1,73.9,"3.41"
"396","Kings",2023,1,69.6,61,78.2,"1.76"
"397","Lewis",2023,1,61.8,51,72.5,"4.79"
"398","Livingston",2023,1,64.2,53.5,74.8,"2.52"
"399","Madison",2023,1,63,52.2,73.7,"5.2"
"400","Monroe",2023,1,64.9,55.7,74,"2.7"
"401","Montgomery",2023,1,64.5,53.3,75.6,"3.82"
"402","Nassau",2023,1,68.3,59.2,77.3,"1.92"
"403","New York",2023,1,69.8,60.8,78.7,"1.83"
"404","Niagara",2023,1,65.6,56.3,75,"2.34"
"405","Oneida",2023,1,63.6,52.5,74.6,"5.2"
"406","Onondaga",2023,1,64.7,54.4,75,"5.56"
"407","Ontario",2023,1,64.3,54.3,74.2,"4.09"
"408","Orange",2023,1,65.3,54.6,75.9,"5.28"
"409","Orleans",2023,1,64.6,55.6,73.6,"2.41"
"410","Oswego",2023,1,64.4,54.6,74.2,"4.32"
"411","Otsego",2023,1,61.1,50.1,72.2,"4.45"
"412","Putnam",2023,1,66.6,56.2,76.9,"3.3"
"413","Queens",2023,1,69.2,60.2,78,"1.45"
"414","Rensselaer",2023,1,64.7,54.1,75.4,"4.83"
"415","Richmond",2023,1,69.5,60.2,78.8,"2.46"
"416","Rockland",2023,1,67.3,56.8,77.8,"3.65"
"417","Saratoga",2023,1,64.2,53.6,74.7,"3.62"
"418","Schenectady",2023,1,64.8,54.1,75.5,"3.74"
"419","Schoharie",2023,1,61.9,51,72.9,"3.59"
"420","Schuyler",2023,1,63.2,52.4,74,"3.72"
"421","Seneca",2023,1,64.4,54.5,74.2,"4.57"
"422","St. Lawrence",2023,1,63.1,51.9,74.2,"5.45"
"423","Steuben",2023,1,62.8,51.5,74.1,"3.19"
"424","Suffolk",2023,1,66.3,57.6,75,"1.84"
"425","Sullivan",2023,1,62.4,52,72.9,"4.4"
"426","Tioga",2023,1,63.7,53,74.4,"4.99"
"427","Tompkins",2023,1,62.9,52.3,73.5,"5.88"
"428","Ulster",2023,1,63.8,53.3,74.2,"4.71"
"429","Warren",2023,1,61.3,50.6,72,"3.45"
"430","Washington",2023,1,63.8,53.1,74.6,"4.38"
"431","Wayne",2023,1,64.1,55.6,72.7,"3.59"
"432","Westchester",2023,1,67.8,57.5,78,"2.3"
"433","Wyoming",2023,1,62.8,52.5,73.1,"2.2"
"434","Yates",2023,1,64,53.6,74.2,"4.76"
"435","Albany",2023,1,56.2,42.9,69.6,"2"
"436","Allegany",2023,1,53.4,39.2,67.5,"1.92"
"437","Bronx",2023,1,61.3,51.2,71.3,"1.81"
"438","Broome",2023,1,54,40.5,67.4,"2.37"
"439","Cattaraugus",2023,1,53.1,38.6,67.5,"1.79"
"440","Cayuga",2023,1,53.6,41.6,65.7,"2.33"
"441","Chautauqua",2023,1,54.8,41.5,68.1,"1.84"
"442","Chemung",2023,1,53.8,39.1,68.5,"1.72"
"443","Chenango",2023,1,52.5,38.8,66.1,"3.26"
"444","Clinton",2023,1,54.2,41.7,66.8,"2.69"
"445","Columbia",2023,1,56.8,43.2,70.3,"2.5"
"446","Cortland",2023,1,52.2,39.3,65.1,"2.69"
"447","Delaware",2023,1,51.8,37.3,66.2,"2.44"
"448","Dutchess",2023,1,57.4,43.4,71.3,"1.74"
"449","Erie",2023,1,55.1,42.5,67.8,"1.55"
"450","Essex",2023,1,51,37.5,64.4,"3.29"
"451","Franklin",2023,1,51.9,37.7,66.1,"2.82"
"452","Fulton",2023,1,53.8,39.8,67.7,"2.42"
"453","Genesee",2023,1,54.6,42.6,66.6,"1.46"
"454","Greene",2023,1,54,40.6,67.5,"2.46"
"455","Hamilton",2023,1,50.3,36.3,64.2,"3.02"
"456","Herkimer",2023,1,52.1,38.1,66,"2.65"
