"","county","month","year","deaths","event"
"98","Southwest suffolk ",7,2013,0,"extreme heat"
"99","Western dutchess ",7,2013,0,"extreme heat"
"100","Orange ",9,2013,0,"extreme heat"
"101","Putnam ",9,2013,0,"extreme heat"
"102","Bronx ",8,2016,0,"extreme heat"
"103","Eastern dutchess ",8,2016,0,"extreme heat"
"104","Eastern ulster ",8,2016,0,"extreme heat"
"105","New york (manhattan) ",8,2016,0,"extreme heat"
"106","Northern nassau ",8,2016,0,"extreme heat"
"107","Northern queens ",8,2016,0,"extreme heat"
"108","Orange ",8,2016,0,"extreme heat"
"109","Putnam ",8,2016,0,"extreme heat"
"110","Southern nassau ",8,2016,0,"extreme heat"
"111","Southern queens ",8,2016,0,"extreme heat"
"112","Southern westchester ",8,2016,0,"extreme heat"
"113","Southwest suffolk ",8,2016,0,"extreme heat"
"114","Western dutchess ",8,2016,0,"extreme heat"
"115","Eastern albany ",7,2018,0,"extreme heat"
"116","Eastern columbia ",7,2018,0,"extreme heat"
"117","Eastern dutchess ",7,2018,0,"extreme heat"
"118","Eastern greene ",7,2018,0,"extreme heat"
"119","Eastern rensselaer ",7,2018,0,"extreme heat"
"120","Eastern schenectady ",7,2018,0,"extreme heat"
"121","Eastern ulster ",7,2018,0,"extreme heat"
"122","Montgomery ",7,2018,0,"extreme heat"
"123","Northern saratoga ",7,2018,0,"extreme heat"
"124","Northern washington ",7,2018,0,"extreme heat"
"125","Southeast warren ",7,2018,0,"extreme heat"
"126","Southern fulton ",7,2018,0,"extreme heat"
"127","Southern herkimer ",7,2018,0,"extreme heat"
"128","Southern saratoga ",7,2018,0,"extreme heat"
"129","Southern washington ",7,2018,0,"extreme heat"
"130","Western columbia ",7,2018,0,"extreme heat"
"131","Western dutchess ",7,2018,0,"extreme heat"
"132","Western rensselaer ",7,2018,0,"extreme heat"
"133","Western schenectady ",7,2018,0,"extreme heat"
"134","Eastern albany ",7,2019,0,"extreme heat"
"135","Eastern dutchess ",7,2019,0,"extreme heat"
"136","Eastern greene ",7,2019,0,"extreme heat"
"137","Eastern schenectady ",7,2019,0,"extreme heat"
"138","Eastern ulster ",7,2019,0,"extreme heat"
"139","Montgomery ",7,2019,0,"extreme heat"
"140","New york (manhattan) ",7,2019,0,"extreme heat"
"141","Northern queens ",7,2019,0,"extreme heat"
"142","Northern saratoga ",7,2019,0,"extreme heat"
"143","Orange ",7,2019,0,"extreme heat"
"144","Southeast suffolk ",7,2019,0,"extreme heat"
"145","Southeast warren ",7,2019,0,"extreme heat"
"146","Southern fulton ",7,2019,0,"extreme heat"
"147","Southern herkimer ",7,2019,0,"extreme heat"
"148","Southern queens ",7,2019,0,"extreme heat"
"149","Southern saratoga ",7,2019,0,"extreme heat"
"150","Southern washington ",7,2019,0,"extreme heat"
"151","Southern westchester ",7,2019,0,"extreme heat"
"152","Southwest suffolk ",7,2019,0,"extreme heat"
"153","Western columbia ",7,2019,0,"extreme heat"
"154","Western dutchess ",7,2019,0,"extreme heat"
"155","Western rensselaer ",7,2019,0,"extreme heat"
"156","Western schenectady ",7,2019,0,"extreme heat"
"157","Eastern albany ",8,2021,0,"extreme heat"
"158","Eastern greene ",8,2021,0,"extreme heat"
"159","Eastern ulster ",8,2021,0,"extreme heat"
"160","Western columbia ",8,2021,0,"extreme heat"
"161","Western dutchess ",8,2021,0,"extreme heat"
"162","Western rensselaer ",8,2021,0,"extreme heat"
