States,Years,Numbers
VT,1995,627
WA,1995,25391
WI,1995,14375
WV,1995,3840
WY,1995,1214
AL,1996,23733
AR,1996,13116
AZ,1996,27026
CA,1996,274710
CO,1996,14947
CT,1996,13487
DE,1996,4027
FL,1996,83794
GA,1996,44908
IA,1996,6591
ID,1996,3175
IL,1996,70954
IN,1996,25562
KS,1996,3874
KY,1996,9638
LA,1996,37781
MA,1996,38511
MD,1996,47202
ME,1996,1546
MI,1996,57635
MN,1996,15766
MO,1996,29675
MS,1996,8064
MT,1996,
NC,1996,42561
ND,1996,502
NE,1996,7136
NH,1996,1148
NJ,1996,42520
NM,1996,11517
NV,1996,12937
NY,1996,132024
OH,1996,41726
OK,1996,19721
OR,1996,14531
PA,1996,46148
RI,1996,3442
SC,1996,37201
SD,1996,1149
TN,1996,35906
TX,1996,123191
UT,1996,6260
VA,1996,22741
VT,1996,547
WA,1996,23070
WI,1996,13056
WV,1996,3839
WY,1996,1214
AL,1997,23660
AR,1997,13189
AZ,1997,27252
CA,1997,257436
CO,1997,14400
CT,1997,12786
DE,1997,4975
FL,1997,148926
GA,1997,43022
IA,1997,7011
ID,1997,3109
IL,1997,67478
IN,1997,22468
KS,1997,4207
KY,1997,9092
LA,1997,34313
MA,1997,38763
MD,1997,43097
ME,1997,1493
MI,1997,55280
MN,1997,15816
MO,1997,28984
MS,1997,7969
MT,1997,1040
NC,1997,44612
ND,1997,504
NE,1997,7202
NH,1997,247
NJ,1997,39677
NM,1997,11890
NV,1997,11897
NY,1997,122960
OH,1997,34580
OK,1997,18567
OR,1997,14252
PA,1997,44898
RI,1997,3293
SC,1997,37526
SD,1997,976
TN,1997,35873
TX,1997,117048
UT,1997,6687
VA,1997,23233
VT,1997,
WA,1997,23407
WI,1997,13999
WV,1997,3980
WY,1997,1196
AL,1998,21387
AR,1998,12404
AZ,1998,26870
CA,1998,229779
CO,1998,14296
CT,1998,11993
DE,1998,5310
FL,1998,139740
GA,1998,42438
IA,1998,7519
ID,1998,3470
IL,1998,64291
IN,1998,20766
KS,1998,3730
KY,1998,8811
LA,1998,32172
MA,1998,36494
MD,1998,40744
ME,1998,1560
MI,1998,60869
MN,1998,14788
MO,1998,28059
MS,1998,7579
MT,1998,892
NC,1998,43559
ND,1998,546
NE,1998,7372
NH,1998,648
NJ,1998,35719
NM,1998,13573
NV,1998,11247
NY,1998,113209
OH,1998,31111
OK,1998,18044
OR,1998,13666
PA,1998,47560
RI,1998,3095
SC,1998,34954
SD,1998,940
TN,1998,35077
TX,1998,111542
UT,1998,6415
VA,1998,21788
VT,1998,594
WA,1998,23855
WI,1998,6932
WV,1998,4414
WY,1998,1159
AL,1999,20432
AR,1999,10739
AZ,1999,25942
CA,1999,207909
CO,1999,13270
CT,1999,11372
DE,1999,5005
FL,1999,128421
GA,1999,39819
IA,1999,7517
ID,1999,3114
IL,1999,53068
IN,1999,17959
KS,1999,3035
KY,1999,7940
LA,1999,30588
MA,1999,33272
MD,1999,23562
ME,1999,1249
MI,1999,54916
MN,1999,13061
MO,1999,25497
MS,1999,8068
MT,1999,979
NC,1999,40419
ND,1999,468
NE,1999,7031
NH,1999,695
NJ,1999,33541
NM,1999,12739
NV,1999,10311
NY,1999,101843
OH,1999,30193
OK,1999,17071
OR,1999,12421
PA,1999,47637
RI,1999,2839
SC,1999,33364
SD,1999,1042
TN,1999,37076
TX,1999,111667
UT,1999,5847
VA,1999,20374
VT,1999,655
WA,1999,21350
WI,1999,12814
WV,1999,4836
WY,1999,1114
AL,2000,17993
AR,2000,11812
AZ,2000,27193
CA,2000,210475
CO,2000,13513
CT,2000,11171
DE,2000,4966
FL,2000,128128
GA,2000,39440
IA,2000,7703
ID,2000,3266
IL,2000,50655
IN,2000,17850
KS,2000,8158
KY,2000,6660
LA,2000,28551
MA,2000,33182
MD,2000,41850
ME,2000,1391
MI,2000,54043
MN,2000,13678
MO,2000,25446
MS,2000,7405
MT,2000,2498
NC,2000,38919
ND,2000,506
NE,2000,5536
NH,2000,1132
NJ,2000,32299
NM,2000,12454
NV,2000,10475
NY,2000,99967
OH,2000,32458
OK,2000,17187
OR,2000,11892
PA,2000,48379
RI,2000,3119
SC,2000,32674
SD,2000,1139
TN,2000,40244
TX,2000,113298
UT,2000,5363
VA,2000,19801
VT,2000,648
WA,2000,21449
WI,2000,12403
WV,2000,5453
WY,2000,1310
AL,2001,16793
AR,2001,11253
AZ,2001,28378
CA,2001,212856
CO,2001,13961
CT,2001,11564
DE,2001,4935
FL,2001,130661
GA,2001,39642
IA,2001,7605
ID,2001,3204
IL,2001,49308
IN,2001,20119
KS,2001,8770
KY,2001,5824
LA,2001,29135
MA,2001,31742
MD,2001,42900
ME,2001,1433
MI,2001,54824
MN,2001,12817
MO,2001,28781
MS,2001,7653
MT,2001,1765
NC,2001,39843
ND,2001,491
NE,2001,5009
NH,2001,1110
NJ,2001,33075
NM,2001,12526
NV,2001,12336
NY,2001,93025
OH,2001,36764
OK,2001,17729
OR,2001,10605
PA,2001,45481
RI,2001,3279
SC,2001,32843
SD,2001,1044
TN,2001,42764
TX,2001,121471
UT,2001,5214
VA,2001,20142
VT,2001,588
WA,2001,20906
WI,2001,12396
WV,2001,4633
WY,2001,1262
AL,2002,18172
AR,2002,10986
AZ,2002,29812
CA,2002,208179
CO,2002,14697
CT,2002,10545
DE,2002,5074
FL,2002,128010
GA,2002,37486
IA,2002,8216
ID,2002,3428
IL,2002,48658
IN,2002,19451
KS,2002,8790
KY,2002,6757
LA,2002,27415
MA,2002,31220
MD,2002,42280
ME,2002,1392
MI,2002,54016
MN,2002,13115
MO,2002,30295
MS,2002,7192
MT,2002,2085
NC,2002,38118
ND,2002,464
NE,2002,5294
NH,2002,1319
NJ,2002,32104
NM,2002,12180
NV,2002,13864
NY,2002,94385
OH,2002,37411
OK,2002,17593
OR,2002,10218
PA,2002,46404
RI,2002,3051
SC,2002,34349
SD,2002,1200
TN,2002,41642
TX,2002,125694
UT,2002,5502
VA,2002,20824
VT,2002,669
WA,2002,20551
WI,2002,12112
WV,2002,3985
WY,2002,1338
AL,2003,18398
AR,2003,11117
AZ,2003,28217
CA,2003,204617
CO,2003,14702
CT,2003,9771
DE,2003,5525
FL,2003,124356
GA,2003,36933
IA,2003,7950
ID,2003,3340
IL,2003,42417
IN,2003,19564
KS,2003,7903
KY,2003,6438
LA,2003,26510
MA,2003,30910
MD,2003,38779
ME,2003,1422
MI,2003,51034
MN,2003,12800
MO,2003,28074
MS,2003,6817
MT,2003,2186
NC,2003,36487
ND,2003,471
NE,2003,5016
NH,2003,1243
NJ,2003,31438
NM,2003,11247
NV,2003,13813
NY,2003,88425
OH,2003,34724
OK,2003,17766
OR,2003,10366
PA,2003,45829
RI,2003,3074
SC,2003,33441
SD,2003,1261
TN,2003,40386
TX,2003,122163
UT,2003,5666
VA,2003,20059
VT,2003,698
WA,2003,21126
WI,2003,11957
WV,2003,4058
WY,2003,1283
AL,2004,18650
AR,2004,12777
AZ,2004,28574
CA,2004,197441
CO,2004,16587
CT,2004,9175
DE,2004,5107
FL,2004,123845
GA,2004,36921
IA,2004,8279
ID,2004,3453
IL,2004,40113
IN,2004,18788
KS,2004,9922
KY,2004,9346
LA,2004,27476
MA,2004,30194
MD,2004,38940
ME,2004,1364
MI,2004,49291
MN,2004,13672
MO,2004,28079
MS,2004,6585
MT,2004,2097
NC,2004,36595
ND,2004,527
NE,2004,5295
NH,2004,1555
NJ,2004,30918
NM,2004,11925
NV,2004,14387
NY,2004,84325
OH,2004,36299
OK,2004,17636
OR,2004,10615
PA,2004,48294
RI,2004,2673
SC,2004,33122
SD,2004,1225
TN,2004,41098
TX,2004,121181
UT,2004,5589
VA,2004,20307
VT,2004,687
WA,2004,21202
WI,2004,11463
WV,2004,4718
WY,2004,1139
AL,2005,16256
AR,2005,14154
AZ,2005,29367
CA,2005,189603
CO,2005,18015
CT,2005,8402
DE,2005,5519
FL,2005,125839
GA,2005,37866
IA,2005,8586
ID,2005,3669
IL,2005,39374
IN,2005,18767
KS,2005,10238
KY,2005,10288
LA,2005,23706
MA,2005,31783
MD,2005,39372
ME,2005,1473
MI,2005,55630
MN,2005,15103
MO,2005,30346
MS,2005,6504
MT,2005,2365
NC,2005,39618
ND,2005,669
NE,2005,4934
NH,2005,1569
NJ,2005,30916
NM,2005,11740
NV,2005,14660
NY,2005,85757
OH,2005,36925
OK,2005,18024
OR,2005,10414
PA,2005,50442
RI,2005,2700
SC,2005,32582
SD,2005,1205
TN,2005,45035
TX,2005,121070
UT,2005,5648
VA,2005,21237
VT,2005,752
WA,2005,21639
WI,2005,13266
WV,2005,4622
WY,2005,1144
AL,2006,15370
AR,2006,15242
AZ,2006,33588
CA,2006,194492
CO,2006,18730
CT,2006,10471
DE,2006,5996
FL,2006,129602
GA,2006,41152
IA,2006,8369
ID,2006,3667
IL,2006,54321
IN,2006,18960
KS,2006,11722
KY,2006,10811
LA,2006,28620
MA,2006,31827
MD,2006,38111
ME,2006,1535
MI,2006,56732
MN,2006,14979
MO,2006,31887
MS,2006,7344
MT,2006,3400
NC,2006,41096
ND,2006,1181
NE,2006,5036
NH,2006,1697
NJ,2006,30553
NM,2006,12574
NV,2006,18691
NY,2006,83926
OH,2006,38943
OK,2006,17877
OR,2006,10441
PA,2006,53103
RI,2006,2460
SC,2006,33246
SD,2006,1715
TN,2006,46023
TX,2006,121511
UT,2006,5695
VA,2006,21546
